"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
9.30960587531421e-270,0.798311351818952,0.449,0.293,2.26539949369896e-265,"0","TANK"
1.49511883871236e-267,0.494479271511945,1,0.974,3.63822218212267e-263,"0","PABPC1"
1.56240474888953e-267,0.308586047375639,1,1,3.80195571594777e-263,"0","RPS11"
3.92997281204172e-266,0.526553174545687,0.724,0.561,9.56319584082232e-262,"0","ISG15"
7.43486973355824e-266,0.398875988614837,0.911,0.83,1.80920120096406e-261,"0","RBM39"
6.49117361537405e-263,0.694702405930124,0.568,0.465,1.57956218756512e-258,"0","GPBP1"
1.18827622064725e-260,0.420741830182514,0.913,0.856,2.89155135532302e-256,"0","C19orf43"
1.37176338683804e-259,0.448890413190637,0.995,0.91,3.33804902553168e-255,"0","HSPA8"
6.69191678505922e-259,0.59021975841536,0.593,0.413,1.62841103047631e-254,"0","REL"
8.36377705200661e-259,0.613917325463638,0.547,0.405,2.03524150783529e-254,"0","VAMP2"
3.50979783094133e-256,0.514006789063014,0.302,0.138,8.54074204181264e-252,"0","PTPN7"
4.18085559127346e-256,0.585202041096837,0.52,0.345,1.01736939958048e-251,"0","RGS10"
6.82024762897129e-255,0.70201221284654,0.352,0.192,1.65963905803387e-250,"0","MGAT4A"
3.50723508862584e-253,0.505481323225578,0.926,0.823,8.53450586466212e-249,"0","YWHAB"
2.14528266925444e-252,0.423665064926256,0.905,0.819,5.22033084736375e-248,"0","APRT"
4.77345598198127e-251,0.715348676242729,0.419,0.269,1.16157277865532e-246,"0","PDCL3"
5.47377936697317e-251,0.958768903077728,0.414,0.248,1.33198947115925e-246,"0","CARD16"
2.00180063647525e-245,0.731726732149545,0.606,0.531,4.87118166879887e-241,"0","PPP1CB"
1.85798350835938e-243,0.539461802166157,0.783,0.606,4.52121706924171e-239,"0","ID2"
8.06869170224195e-242,0.522505056745661,0.742,0.683,1.96343543882356e-237,"0","DNAJB6"
2.20362934684076e-235,0.48448383245443,0.719,0.68,5.36231165260231e-231,"0","RBM8A"
1.28518280885711e-234,0.413253011166301,0.25,0.103,3.1273638470729e-230,"0","WAS"
2.03357377486193e-231,0.629576140374695,0.602,0.556,4.94849842374903e-227,"0","SF1"
1.3430621563567e-230,0.519648836897837,0.833,0.753,3.26820745127839e-226,"0","AC090498.1"
3.6684178264651e-230,0.654042923171685,0.556,0.472,8.92672793892017e-226,"0","PAIP2"
1.91589609098794e-227,0.64821104363191,0.595,0.527,4.66214154781006e-223,"0","ABRACL"
2.59202731169805e-220,0.692183484018751,0.504,0.4,6.30743926028604e-216,"0","PPP1R2"
5.95818173755972e-220,0.387340208515057,0.996,0.948,1.44986394401778e-215,"0","TMA7"
5.18092182733882e-218,0.593041012693344,0.529,0.402,1.26072551746463e-213,"0","AKAP13"
4.16504132160172e-216,0.713954776180805,0.603,0.578,1.01352115519856e-211,"0","NDUFV2"
8.17960908000275e-216,0.476632423240851,0.272,0.128,1.99042607352787e-211,"0","NSMCE3"
7.22345468219299e-215,0.366106995743683,1,0.998,1.75775546236484e-210,"0","OAZ1"
3.66161673122935e-214,0.334114268781192,0.996,0.962,8.91017815377351e-210,"0","SRP14"
5.39877472155662e-213,0.684441471299837,0.396,0.267,1.31373784074359e-208,"0","RHBDD2"
3.49690440093663e-211,0.278394074444853,1,0.998,8.5093671692392e-207,"0","GNB2L1"
2.07088167179323e-210,0.590042469342245,0.39,0.244,5.03928346014163e-206,"0","FAM107B"
1.49071512884659e-207,0.361064210783884,0.992,0.969,3.6275061945353e-203,"0","OST4"
8.16417509465901e-207,0.435470035105409,0.268,0.123,1.98667036753432e-202,"0","LBH"
9.40329623234794e-205,0.48351540000792,0.261,0.128,2.28819810517955e-200,"0","RCAN3"
4.12630317699052e-204,0.43049079945525,0.451,0.26,1.00409461508887e-199,"0","SLC2A3"
6.38437282671097e-202,0.376485716110943,0.978,0.91,1.55357328365185e-197,"0","ARPC3"
7.65187962455433e-202,0.89132481071983,0.48,0.406,1.86200838783905e-197,"0","CORO1B"
2.72828822951513e-201,0.324896119789807,0.936,0.865,6.63901657770211e-197,"0","ATP6V0E1"
6.25442514730602e-197,0.758468991432101,0.526,0.437,1.52195181534545e-192,"0","CKLF"
1.03294364168879e-196,0.590856199223512,0.455,0.335,2.5135650576855e-192,"0","TERF2IP"
1.61358008018059e-194,0.290927707116583,0.999,0.985,3.92648576711144e-190,"0","UBB"
3.46025813025998e-194,0.395121312534391,0.917,0.781,8.42019213417463e-190,"0","EZR"
2.69191960978703e-193,0.409766308047893,0.798,0.734,6.55051717845577e-189,"0","TPM3"
3.09631365329017e-192,0.425577130462361,0.747,0.707,7.53456964391629e-188,"0","MORF4L1"
2.21042095848821e-190,0.438879109066135,0.324,0.174,5.3788383603852e-186,"0","TNFAIP8"
8.68679656574756e-190,0.371592610913369,0.893,0.831,2.11384507630901e-185,"0","HNRNPC"
3.84381354010229e-189,0.443065328162153,0.453,0.283,9.35353586848492e-185,"0","MSN"
6.69297786343526e-189,0.711751558973707,0.442,0.332,1.62866923328834e-184,"0","FOXP1"
